history_date,temperature,precipitation,humidity
20220904T0000,15.050245,0.0,96.00768
20220904T0100,14.280245,0.0,98.00926
20220904T0200,13.790245,0.0,98.70863
20220904T0300,13.480246,0.0,99.35379
20220904T0400,13.540245,0.0,98.89977
20220904T0500,13.290245,0.0,99.15697
20220904T0600,14.730246,0.0,95.935036
20220904T0700,16.750246,0.0,91.41931
20220904T0800,19.020245,0.0,85.315735
20220904T0900,21.280245,0.0,76.09909
20220904T1000,22.560246,0.0,72.39553
20220904T1100,24.300245,0.0,59.31115
20220904T1200,25.440245,0.0,48.160004
20220904T1300,26.300245,0.0,42.626373
20220904T1400,26.680244,0.0,40.3505
20220904T1500,27.020245,0.0,38.538948
20220904T1600,26.810246,0.0,39.462414
20220904T1700,25.840246,0.0,49.314423
20220904T1800,24.600245,0.0,45.680065
20220904T1900,21.220245,0.0,59.23338
20220904T2000,18.550245,0.0,71.06115
20220904T2100,16.850245,0.0,79.86859
20220904T2200,16.730246,0.0,82.131325
20220904T2300,15.990245,0.0,85.44089
20220905T0000,15.480246,0.0,86.741776
20220905T0100,15.3102455,0.0,86.15741
20220905T0200,14.960245,0.0,86.74759
20220905T0300,14.450245,0.0,87.733734
20220905T0400,14.000245,0.0,89.627075
20220905T0500,13.950245,0.0,90.27669
20220905T0600,15.230246,0.0,88.67297
20220905T0700,17.830246,0.0,79.17738
20220905T0800,19.380245,0.0,78.83781
20220905T0900,20.860245,0.0,74.01602
20220905T1000,22.990246,0.0,68.577774
20220905T1100,24.830246,0.0,62.46523
20220905T1200,25.970245,0.0,56.994175
20220905T1300,27.740246,0.0,50.456085
20220905T1400,28.230246,0.0,47.697166
20220905T1500,28.490246,0.0,46.200706
20220905T1600,28.520245,0.0,46.74549
20220905T1700,27.160246,0.0,53.148914
20220905T1800,23.390245,0.0,65.12042
20220905T1900,21.680244,0.0,70.41346
20220905T2000,20.800245,0.0,74.10082
20220905T2100,19.540245,0.0,80.91089
20220905T2200,19.580246,0.0,75.584015
20220905T2300,18.310246,0.0,81.69362
20220906T0000,17.950245,0.0,83.625305
20220906T0100,17.870245,0.0,85.25119
20220906T0200,17.780245,0.0,87.18597
20220906T0300,17.470245,0.0,90.00848
20220906T0400,17.210245,0.0,92.037476
20220906T0500,17.000246,0.3,93.815735
20220906T0600,18.110245,0.4,88.51186
20220906T0700,19.510244,0.6,84.55412
20220906T0800,20.830246,0.5,79.396286
20220906T0900,21.660246,0.4,80.67256
20220906T1000,22.550245,0.8,77.948
